Date : 2024-07-07 13:43:39
Directory : c:\Users\mawen\Dev\GitHub\Study
Total : 468 files,  108703 codes, 1789 comments, 38510 blanks, all 149002 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| project\业务 (Files)                                                                                                          |          3 |      1,686 |          0 |        175 |      1,861 |
| project\业务\tiktok广告                                                                                                         |          3 |        235 |         11 |         21 |        267 |
| project\业务\三方抓数                                                                                                             |         30 |      2,026 |        179 |        266 |      2,471 |
| project\业务\三方抓数\Aarki                                                                                                       |          1 |         72 |          0 |          7 |         79 |
| project\业务\三方抓数\Blind Ferret                                                                                                |          1 |        110 |          3 |          8 |        121 |
| project\业务\三方抓数\Tapjoy                                                                                                      |          1 |        108 |         22 |         14 |        144 |
| project\业务\三方抓数\Taurusx                                                                                                     |          5 |        359 |         23 |         61 |        443 |
| project\业务\三方抓数\appier                                                                                                      |          1 |         48 |          0 |          6 |         54 |
| project\业务\三方抓数\bigo                                                                                                        |          5 |        309 |          5 |         33 |        347 |
| project\业务\三方抓数\chartboost                                                                                                  |          4 |        294 |         20 |         27 |        341 |
| project\业务\三方抓数\liftoff                                                                                                     |          5 |        358 |         21 |         41 |        420 |
| project\业务\三方抓数\mintegral                                                                                                   |          2 |        116 |          8 |         17 |        141 |
| project\业务\三方抓数\阳光短剧                                                                                                        |          5 |        252 |         77 |         52 |        381 |
| project\业务\加密excel                                                                                                          |          1 |         46 |         17 |         18 |         81 |
| project\业务\字节广告                                                                                                             |          5 |        415 |         26 |         44 |        485 |
| project\业务\字节广告\images                                                                                                      |          2 |        186 |          5 |         19 |        210 |
| project\业务\字节广告\token                                                                                                       |          1 |         51 |          9 |          5 |         65 |
| project\业务\字节广告\vedio                                                                                                       |          2 |        178 |         12 |         20 |        210 |
| project\业务\小游戏归因                                                                                                            |          1 |         70 |          0 |         12 |         82 |
| project\业务\小游戏归因\巨量                                                                                                         |          1 |         70 |          0 |         12 |         82 |
| project\业务\小游戏归因\巨量\微信                                                                                                      |          1 |         70 |          0 |         12 |         82 |
| project\业务\打点                                                                                                               |          1 |         63 |          8 |         12 |         83 |
| project\业务\打点\数数                                                                                                            |          1 |         63 |          8 |         12 |         83 |
| project\业务\腾讯广告                                                                                                             |          5 |        338 |         37 |         47 |        422 |
| project\业务\腾讯广告\images                                                                                                      |          2 |        130 |         11 |         17 |        158 |
| project\业务\腾讯广告\vedio                                                                                                       |          2 |        155 |         17 |         22 |        194 |
| project\业务\腾讯广告\资产授权                                                                                                        |          1 |         53 |          9 |          8 |         70 |
| project\业务\飞书多维表格                                                                                                           |          2 |         40 |         14 |          6 |         60 |
| project\业务\飞书多维表格 (Files)                                                                                                   |          1 |          3 |         10 |          2 |         15 |
| project\业务\飞书多维表格\token                                                                                                     |          1 |         37 |          4 |          4 |         45 |
| project\规范                                                                                                                  |          9 |      1,415 |          0 |      1,119 |      2,534 |
| project\规范 (Files)                                                                                                          |          7 |      1,380 |          0 |      1,103 |      2,483 |
| project\规范\git规范                                                                                                            |          2 |         35 |          0 |         16 |         51 |
| project\设计方案及调研                                                                                                             |         19 |      2,159 |          0 |        807 |      2,966 |
| project\设计方案及调研 (Files)                                                                                                     |         17 |      2,028 |          0 |        763 |      2,791 |
| project\设计方案及调研\Oauth2.0                                                                                                    |          2 |        131 |          0 |         44 |        175 |
| system-design                                                                                                               |         28 |      5,429 |          0 |      2,498 |      7,927 |
| system-design (Files)                                                                                                       |          5 |        838 |          0 |        356 |      1,194 |
| system-design\basis                                                                                                         |          5 |        487 |          0 |        330 |        817 |
| system-design\framework                                                                                                     |         10 |      2,790 |          0 |      1,201 |      3,991 |
| system-design\framework (Files)                                                                                             |          1 |          8 |          0 |          4 |         12 |
| system-design\framework\mybatis                                                                                             |          1 |        204 |          0 |        117 |        321 |
| system-design\framework\spring                                                                                              |          8 |      2,578 |          0 |      1,080 |      3,658 |
| system-design\security                                                                                                      |          8 |      1,314 |          0 |        611 |      1,925 |
| tools                                                                                                                       |          3 |        739 |          0 |        267 |      1,006 |
| tools\gradle                                                                                                                |          1 |        211 |          0 |         96 |        307 |
| tools\maven                                                                                                                 |          2 |        528 |          0 |        171 |        699 |
| 分布式                                                                                                                         |         15 |      1,945 |          0 |      1,259 |      3,204 |
| 分布式 (Files)                                                                                                                 |          6 |        885 |          0 |        515 |      1,400 |
| 分布式\ZooKeeper详解                                                                                                             |          4 |        697 |          0 |        462 |      1,159 |
| 分布式\理论&算法&协议                                                                                                                |          5 |        363 |          0 |        282 |        645 |
| 消息队列                                                                                                                        |         13 |      2,665 |          0 |      1,809 |      4,474 |
| 计算机网络                                                                                                                       |          6 |      1,466 |          0 |      1,987 |      3,453 |
| 计算机网络 (Files)                                                                                                               |          3 |        247 |          0 |        343 |        590 |
| 计算机网络\计网面经                                                                                                                  |          3 |      1,219 |          0 |      1,644 |      2,863 |
| 设计模式                                                                                                                        |          2 |        778 |          0 |        575 |      1,353 |
| 高可用                                                                                                                         |          5 |        319 |          0 |        214 |        533 |
| 高并发                                                                                                                         |          1 |         83 |          0 |         75 |        158 |
| 高性能                                                                                                                         |          6 |        528 |          0 |        334 |        862 |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                    | language         | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\mawen\Dev\GitHub\Study\AWS.md                                                                                      | Markdown         |         68 |          0 |         42 |        110 |
| c:\Users\mawen\Dev\GitHub\Study\BigData.md                                                                                  | Markdown         |        752 |          0 |        328 |      1,080 |
| c:\Users\mawen\Dev\GitHub\Study\Clickhouse.md                                                                               | Markdown         |         18 |          0 |          7 |         25 |
| c:\Users\mawen\Dev\GitHub\Study\Docker_K8S\Docker.md                                                                        | Markdown         |        388 |          0 |        199 |        587 |
| c:\Users\mawen\Dev\GitHub\Study\Docker_K8S\K8s_deployment.md                                                                | Markdown         |         80 |          0 |         56 |        136 |
| c:\Users\mawen\Dev\GitHub\Study\Docker_K8S\K8s_基础.md                                                                        | Markdown         |        501 |          0 |        258 |        759 |
| c:\Users\mawen\Dev\GitHub\Study\Docker_K8S\K8s_操作命令.md                                                                      | Markdown         |        591 |          0 |        195 |        786 |
| c:\Users\mawen\Dev\GitHub\Study\Docker_K8S\K8s_面试题.md                                                                       | Markdown         |        560 |          0 |        388 |        948 |
| c:\Users\mawen\Dev\GitHub\Study\Docker_K8S\docker从入门到上手干事.md                                                                | Markdown         |        415 |          0 |        362 |        777 |
| c:\Users\mawen\Dev\GitHub\Study\Docker_K8S\docker基本概念解读.md                                                                  | Markdown         |        172 |          0 |        143 |        315 |
| c:\Users\mawen\Dev\GitHub\Study\Docker_K8S\docker笔记.md                                                                      | Markdown         |        248 |          0 |         45 |        293 |
| c:\Users\mawen\Dev\GitHub\Study\Docker_K8S\k8s_kubeadm.md                                                                   | Markdown         |        156 |          0 |         52 |        208 |
| c:\Users\mawen\Dev\GitHub\Study\Docker_K8S\k8s_service.md                                                                   | Markdown         |        132 |          0 |         68 |        200 |
| c:\Users\mawen\Dev\GitHub\Study\Docker_K8S\kube-scheduler.md                                                                | Markdown         |         85 |          0 |         32 |        117 |
| c:\Users\mawen\Dev\GitHub\Study\Docker_K8S\kubelet.md                                                                       | Markdown         |         24 |          0 |         17 |         41 |
| c:\Users\mawen\Dev\GitHub\Study\Druid_InfluxDB.md                                                                           | Markdown         |        158 |          0 |         76 |        234 |
| c:\Users\mawen\Dev\GitHub\Study\Git\Github小技巧.md                                                                            | Markdown         |         74 |          0 |         70 |        144 |
| c:\Users\mawen\Dev\GitHub\Study\Git\Git入门.md                                                                                | Markdown         |        145 |          0 |        148 |        293 |
| c:\Users\mawen\Dev\GitHub\Study\Git\Git详解.md                                                                                | Markdown         |        302 |          0 |        121 |        423 |
| c:\Users\mawen\Dev\GitHub\Study\Jenkins.md                                                                                  | Markdown         |        125 |          0 |         41 |        166 |
| c:\Users\mawen\Dev\GitHub\Study\MySQL\MySQL_基础.md                                                                           | Markdown         |        593 |          0 |        132 |        725 |
| c:\Users\mawen\Dev\GitHub\Study\MySQL\MySQL_索引_优化_分库分表.md                                                                   | Markdown         |        741 |          0 |        296 |      1,037 |
| c:\Users\mawen\Dev\GitHub\Study\MySQL\MySQL_锁_事务.md                                                                         | Markdown         |        552 |          0 |        219 |        771 |
| c:\Users\mawen\Dev\GitHub\Study\MySQL\mysql\a-thousand-lines-of-mysql-study-notes.md                                        | Markdown         |        906 |          0 |         52 |        958 |
| c:\Users\mawen\Dev\GitHub\Study\MySQL\mysql\how-sql-executed-in-mysql.md                                                    | Markdown         |         82 |          0 |         56 |        138 |
| c:\Users\mawen\Dev\GitHub\Study\MySQL\mysql\index-invalidation-caused-by-implicit-conversion.md                             | Markdown         |        122 |          0 |         41 |        163 |
| c:\Users\mawen\Dev\GitHub\Study\MySQL\mysql\innodb-implementation-of-mvcc.md                                                | Markdown         |        146 |          0 |        114 |        260 |
| c:\Users\mawen\Dev\GitHub\Study\MySQL\mysql\mysql-auto-increment-primary-key-continuous.md                                  | Markdown         |        124 |          0 |         98 |        222 |
| c:\Users\mawen\Dev\GitHub\Study\MySQL\mysql\mysql-high-performance-optimization-specification-recommendations.md            | Markdown         |        225 |          0 |        165 |        390 |
| c:\Users\mawen\Dev\GitHub\Study\MySQL\mysql\mysql-index.md                                                                  | Markdown         |        339 |          0 |        202 |        541 |
| c:\Users\mawen\Dev\GitHub\Study\MySQL\mysql\mysql-logs.md                                                                   | Markdown         |        192 |          0 |        157 |        349 |
| c:\Users\mawen\Dev\GitHub\Study\MySQL\mysql\mysql-query-cache.md                                                            | Markdown         |        145 |          0 |         64 |        209 |
| c:\Users\mawen\Dev\GitHub\Study\MySQL\mysql\mysql-query-execution-plan.md                                                   | Markdown         |        100 |          0 |         45 |        145 |
| c:\Users\mawen\Dev\GitHub\Study\MySQL\mysql\mysql-questions-01.md                                                           | Markdown         |        546 |          0 |        319 |        865 |
| c:\Users\mawen\Dev\GitHub\Study\MySQL\mysql\some-thoughts-on-database-storage-time.md                                       | Markdown         |        116 |          0 |         55 |        171 |
| c:\Users\mawen\Dev\GitHub\Study\MySQL\mysql\transaction-isolation-level.md                                                  | Markdown         |         73 |          0 |         43 |        116 |
| c:\Users\mawen\Dev\GitHub\Study\MySQL\面试.md                                                                                 | Markdown         |         15 |          0 |          6 |         21 |
| c:\Users\mawen\Dev\GitHub\Study\Nginx.md                                                                                    | Markdown         |         15 |          0 |         13 |         28 |
| c:\Users\mawen\Dev\GitHub\Study\OpenRTB.md                                                                                  | Markdown         |        113 |          0 |         20 |        133 |
| c:\Users\mawen\Dev\GitHub\Study\Prometheus.md                                                                               | Markdown         |        209 |          0 |         45 |        254 |
| c:\Users\mawen\Dev\GitHub\Study\Python\Python_ML.py                                                                         | Python           |        340 |         48 |         92 |        480 |
| c:\Users\mawen\Dev\GitHub\Study\Python\Python_basic.py                                                                      | Python           |        236 |         20 |         79 |        335 |
| c:\Users\mawen\Dev\GitHub\Study\Python\p02_function.py                                                                      | Python           |        189 |          9 |         71 |        269 |
| c:\Users\mawen\Dev\GitHub\Study\Python\p03_module_class.py                                                                  | Python           |      1,070 |         21 |        395 |      1,486 |
| c:\Users\mawen\Dev\GitHub\Study\Python\p04_exception.py                                                                     | Python           |        381 |          8 |        133 |        522 |
| c:\Users\mawen\Dev\GitHub\Study\Python\p05_IO.py                                                                            | Python           |         30 |          6 |         23 |         59 |
| c:\Users\mawen\Dev\GitHub\Study\Python\p06_Thread.py                                                                        | Python           |         30 |          6 |         23 |         59 |
| c:\Users\mawen\Dev\GitHub\Study\README.md                                                                                   | Markdown         |          2 |          0 |          1 |          3 |
| c:\Users\mawen\Dev\GitHub\Study\Redis\Redis.md                                                                              | Markdown         |        709 |          0 |        276 |        985 |
| c:\Users\mawen\Dev\GitHub\Study\Redis\Redis_面经.md                                                                           | Markdown         |      1,992 |          0 |      1,418 |      3,410 |
| c:\Users\mawen\Dev\GitHub\Study\Redis\redis\3-commonly-used-cache-read-and-write-strategies.md                              | Markdown         |         65 |          0 |         54 |        119 |
| c:\Users\mawen\Dev\GitHub\Study\Redis\redis\redis-common-blocking-problems-summary.md                                       | Markdown         |        108 |          0 |         71 |        179 |
| c:\Users\mawen\Dev\GitHub\Study\Redis\redis\redis-data-structures-01.md                                                     | Markdown         |        374 |          0 |        130 |        504 |
| c:\Users\mawen\Dev\GitHub\Study\Redis\redis\redis-data-structures-02.md                                                     | Markdown         |        165 |          0 |         62 |        227 |
| c:\Users\mawen\Dev\GitHub\Study\Redis\redis\redis-delayed-task.md                                                           | Markdown         |         46 |          0 |         37 |         83 |
| c:\Users\mawen\Dev\GitHub\Study\Redis\redis\redis-memory-fragmentation.md                                                   | Markdown         |         80 |          0 |         45 |        125 |
| c:\Users\mawen\Dev\GitHub\Study\Redis\redis\redis-persistence.md                                                            | Markdown         |        121 |          0 |         79 |        200 |
| c:\Users\mawen\Dev\GitHub\Study\Redis\redis\redis-questions-01.md                                                           | Markdown         |        554 |          0 |        288 |        842 |
| c:\Users\mawen\Dev\GitHub\Study\Redis\redis\redis-questions-02.md                                                           | Markdown         |        527 |          0 |        273 |        800 |
| c:\Users\mawen\Dev\GitHub\Study\Redis\redis\redis-skiplist.md                                                               | Markdown         |        589 |          0 |        179 |        768 |
| c:\Users\mawen\Dev\GitHub\Study\Redis\redis分布式锁及双重校验.md                                                                     | Markdown         |         89 |          0 |         32 |        121 |
| c:\Users\mawen\Dev\GitHub\Study\Scala.md                                                                                    | Markdown         |        511 |          0 |        129 |        640 |
| c:\Users\mawen\Dev\GitHub\Study\Spark.md                                                                                    | Markdown         |        496 |          0 |        198 |        694 |
| c:\Users\mawen\Dev\GitHub\Study\cs-basics\network\application-layer-protocol.md                                             | Markdown         |         87 |          0 |         59 |        146 |
| c:\Users\mawen\Dev\GitHub\Study\cs-basics\network\arp.md                                                                    | Markdown         |         58 |          0 |         48 |        106 |
| c:\Users\mawen\Dev\GitHub\Study\cs-basics\network\computer-network-xiexiren-summary.md                                      | Markdown         |        227 |          0 |         95 |        322 |
| c:\Users\mawen\Dev\GitHub\Study\cs-basics\network\dns.md                                                                    | Markdown         |         71 |          0 |         38 |        109 |
| c:\Users\mawen\Dev\GitHub\Study\cs-basics\network\http-status-codes.md                                                      | Markdown         |         52 |          0 |         21 |         73 |
| c:\Users\mawen\Dev\GitHub\Study\cs-basics\network\http-vs-https.md                                                          | Markdown         |         88 |          0 |         55 |        143 |
| c:\Users\mawen\Dev\GitHub\Study\cs-basics\network\http1.0-vs-http1.1.md                                                     | Markdown         |         62 |          0 |         46 |        108 |
| c:\Users\mawen\Dev\GitHub\Study\cs-basics\network\nat.md                                                                    | Markdown         |         38 |          0 |         23 |         61 |
| c:\Users\mawen\Dev\GitHub\Study\cs-basics\network\network-attack-means.md                                                   | Markdown         |        252 |          0 |        219 |        471 |
| c:\Users\mawen\Dev\GitHub\Study\cs-basics\network\osi-and-tcp-ip-model.md                                                   | Markdown         |        127 |          0 |         69 |        196 |
| c:\Users\mawen\Dev\GitHub\Study\cs-basics\network\other-network-questions.md                                                | Markdown         |        265 |          0 |        144 |        409 |
| c:\Users\mawen\Dev\GitHub\Study\cs-basics\network\other-network-questions2.md                                               | Markdown         |        129 |          0 |         82 |        211 |
| c:\Users\mawen\Dev\GitHub\Study\cs-basics\network\tcp-connection-and-disconnection.md                                       | Markdown         |         60 |          0 |         44 |        104 |
| c:\Users\mawen\Dev\GitHub\Study\cs-basics\network\tcp-reliability-guarantee.md                                              | Markdown         |         79 |          0 |         50 |        129 |
| c:\Users\mawen\Dev\GitHub\Study\cs-basics\network\the-whole-process-of-accessing-web-pages.md                               | Markdown         |         50 |          0 |         30 |         80 |
| c:\Users\mawen\Dev\GitHub\Study\cs-basics\operating-system\linux-intro.md                                                   | Markdown         |        280 |          0 |        152 |        432 |
| c:\Users\mawen\Dev\GitHub\Study\cs-basics\operating-system\operating-system-basic-questions-01.md                           | Markdown         |        292 |          0 |        170 |        462 |
| c:\Users\mawen\Dev\GitHub\Study\cs-basics\operating-system\operating-system-basic-questions-02.md                           | Markdown         |        250 |          0 |        164 |        414 |
| c:\Users\mawen\Dev\GitHub\Study\cs-basics\operating-system\shell-intro.md                                                   | Markdown         |        396 |          0 |        141 |        537 |
| c:\Users\mawen\Dev\GitHub\Study\database\basis.md                                                                           | Markdown         |        100 |          0 |         59 |        159 |
| c:\Users\mawen\Dev\GitHub\Study\database\character-set.md                                                                   | Markdown         |        210 |          0 |        124 |        334 |
| c:\Users\mawen\Dev\GitHub\Study\database\nosql.md                                                                           | Markdown         |         43 |          0 |         19 |         62 |
| c:\Users\mawen\Dev\GitHub\Study\database\sql\sql-questions-01.md                                                            | Markdown         |      1,368 |          0 |        461 |      1,829 |
| c:\Users\mawen\Dev\GitHub\Study\database\sql\sql-questions-02.md                                                            | Markdown         |        322 |          0 |        129 |        451 |
| c:\Users\mawen\Dev\GitHub\Study\database\sql\sql-questions-03.md                                                            | Markdown         |      1,003 |          0 |        299 |      1,302 |
| c:\Users\mawen\Dev\GitHub\Study\database\sql\sql-questions-04.md                                                            | Markdown         |        661 |          0 |        172 |        833 |
| c:\Users\mawen\Dev\GitHub\Study\database\sql\sql-questions-05.md                                                            | Markdown         |        799 |          0 |        215 |      1,014 |
| c:\Users\mawen\Dev\GitHub\Study\database\sql\sql-syntax-summary.md                                                          | Markdown         |        866 |          0 |        347 |      1,213 |
| c:\Users\mawen\Dev\GitHub\Study\elasticsearch\ELK.md                                                                        | Markdown         |        323 |          0 |         79 |        402 |
| c:\Users\mawen\Dev\GitHub\Study\elasticsearch\README.md                                                                     | Markdown         |         32 |          0 |          0 |         32 |
| c:\Users\mawen\Dev\GitHub\Study\elasticsearch\go.mod                                                                        | Go Module File   |         34 |          0 |          4 |         38 |
| c:\Users\mawen\Dev\GitHub\Study\elasticsearch\go.sum                                                                        | Go Checksum File |        103 |          0 |          1 |        104 |
| c:\Users\mawen\Dev\GitHub\Study\elasticsearch\study\ES_RESTFUL_README.md                                                    | Markdown         |        561 |          0 |        159 |        720 |
| c:\Users\mawen\Dev\GitHub\Study\elasticsearch\study\exercise\elastic-go-elasticsearch.go                                    | Go               |        109 |         45 |         19 |        173 |
| c:\Users\mawen\Dev\GitHub\Study\elasticsearch\study\exercise\go-elasticsearch.go                                            | Go               |         28 |          5 |          6 |         39 |
| c:\Users\mawen\Dev\GitHub\Study\elasticsearch\study\exercise\olivere-elastic.go                                             | Go               |        151 |         24 |         16 |        191 |
| c:\Users\mawen\Dev\GitHub\Study\elasticsearch\study\search\search.go                                                        | Go               |        141 |          8 |         18 |        167 |
| c:\Users\mawen\Dev\GitHub\Study\elasticsearch\study\♥ElasticSearch知识体系详解♥\ES详解 - 优化：ElasticSearch性能优化详解.md                  | Markdown         |        280 |          0 |        155 |        435 |
| c:\Users\mawen\Dev\GitHub\Study\elasticsearch\study\♥ElasticSearch知识体系详解♥\ES详解 - 入门：查询和聚合的基础使用.md                           | Markdown         |        280 |          0 |         86 |        366 |
| c:\Users\mawen\Dev\GitHub\Study\elasticsearch\study\♥ElasticSearch知识体系详解♥\ES详解 - 原理：ES原理之索引文档流程详解.md                        | Markdown         |        209 |          0 |        148 |        357 |
| c:\Users\mawen\Dev\GitHub\Study\elasticsearch\study\♥ElasticSearch知识体系详解♥\ES详解 - 原理：ES原理之读取文档流程详解.md                        | Markdown         |        150 |          0 |        115 |        265 |
